CUSTOMER ID,CUSTOMER NAME,PHONE NO,PRODUCT CATEGORY,PRODUCT NAME,ISSUES,SEVERITY,CREATED BY,OPENED,CLOSED,DATE-OPENED,DATECLOSED,Hours,Days,STATUS
73279,Savana,634-0081-36,Phone,Ace Galaxy S4,Can't connect to wifi,Medium,Raj,3:00 PM,9:00 AM,10-07-2020,10-09-2020,1482,62,Closed
78510,Adele,719-3254-35,Phone,Ace 6s+,SLow Phone,Low,Raj,5:00 PM,4:00 PM,12-10-2020,12-13-2020,1471,62,Closed
13418,Kevin,380-2343-16,Laptop,Ace Swift F20 Lite,Speakers not working,Medium,Raj,6:00 PM,12:00 PM,11-03-2020,11-08-2020,3666,153,Closed
8614,Penelope,112-6455-75,Laptop,Ace Swift F20 Lite,Low battery life,Low,Raj,7:00 PM,3:00 PM,11-24-2020,11-26-2020,48,2,Closed
65382,Ryan,419-9684-57,Laptop,Ace SparX,Cannot install apps,Medium,Raj,10:00 PM,9:00 AM,12-31-2020,01-02-2021,777,33,Closed
21467,Paige,578-5707-31,Laptop,Ace Notebook 2.0 Lite,RAM not accessible,High,Raj,5:00 PM,11:00 AM,10-30-2020,10-31-2020,24,1,Closed
60540,Ryan,689-5683-99,Laptop,Ace Lappy 1126,Cannot install updates,Low,Raj,7:00 PM,12:00 PM,12-10-2020,12-13-2020,1469,62,Closed
6285,Sawyer,899-4560-35,Laptop,Ace SparX Pro,Display damaged,High,Raj,11:32 AM,10:00 AM,11-16-2020,11-17-2020,24,1,Closed
10755,Kellan,249-6204-63,Laptop,Ace Infinite,Touchscreen unresponsive sometimes,Low,Raj,2:00 PM,3:00 PM,12-26-2020,12-29-2020,72,3,Closed
68576,Marcus,937-4026-99,Laptop,Ace TouchPad 2000,Keyboard damaged,Medium,Raj,1:00 PM,8:00 AM,10-03-2020,10-05-2020,1459,61,Closed
26856,Henry,492-0374-00,Laptop,Ace Flare S6,Touchscreen unresponsive,Medium,Raj,10:00 AM,3:00 PM,10-03-2020,10-04-2020,749,32,Closed
80868,Jenna,854-7567-33,Laptop,Ace Lappy 1126,Water damage,High,Raj,9:00 AM,5:00 PM,10-13-2020,10-13-2020,0,0,Closed
45755,Eddy,211-1370-56,Desktop,Ace Quantum Core 5278,Processor burning,High,Raj,4:00 PM,1:30 PM,11-12-2020,11-13-2020,688,29,Closed
1847,Isabella,374-2492-21,Desktop,Ace Pro 2000,Keyboard unresponsive,Medium,Rohan,12:00 PM,7:00 PM,12-15-2020,12-17-2020,48,2,Closed
75512,Anna,127-6684-17,Desktop,Ace Zeus V01,Fans not working sometimes,Medium,Rohan,7:00 PM,10:00 PM,10-29-2020,10-30-2020,24,1,Closed
61596,James,699-2467-75,Desktop,Ace Pro 1000,Cannot install updates,Low,Rohan,9:00 AM,11:00 AM,12-10-2020,12-12-2020,1466,62,Closed
68921,Arthur,012-9363-31,Desktop,Ace PC 3699,Cannot install updates,Low,Rohan,11:00 AM,5:00 PM,11-09-2020,11-12-2020,2190,92,Closed
72766,Bruce,007-8361-77,Desktop,Ace AZ Desktop,Screen blackout when turning on,Medium,Rohan,12:00 PM,7:00 PM,11-30-2020,12-01-2020,7733,323,Closed
23457,Owen,364-0857-39,Desktop,Ace A700,Minor monitor issues,Medium,Surya,7:00 PM,8:00 AM,10-15-2020,10-17-2020,48,2,Closed
14713,Daisy,001-0230-79,Desktop,Ace AZ Desktop,Monitor ghosting,Medium,Surya,8:00 AM,2:00 PM,12-29-2020,12-30-2020,24,1,Closed
97072,Tara,998-5159-83,Desktop,Ace Quantum Core 5278,Blue Screen,High,Surya,2:00 PM,1:00 PM,11-19-2020,11-20-2020,24,1,Closed
30582,Dale,004-3703-59,Desktop,Ace Pro 2000,Failing power supply,High,Surya,1:00 PM,10:00 AM,12-07-2020,11-09-2020,1461,61,Closed
38005,Naomi,335-5814-72,Phone,Ace M31 Prime,Screen frozen,High,Surya,10:00 AM,9:00 AM,12-22-2020,12-23-2020,24,1,Closed
64304,Chester,900-9555-97,Phone,Ace X3,Unresponsive power button,Medium,Surya,9:00 AM,8:00 PM,11-01-2020,11-03-2020,1451,61,Closed
70503,Richard,111-0829-64,Phone,Ace X3,Cannot install apps,Low,Ahmed,4:00 PM,12:00 PM,10-07-2020,10-10-2020,2204,92,Closed
33739,Aida,290-7826-89,Phone,Ace Galaxy S4,Wifi connection issues,Low,Ahmed,12:00 PM,7:00 PM,12-03-2020,11-05-2020,1447,61,Closed
50085,Paige,040-7949-82,Phone,Ace 6s+,Speakers damaged,Medium,Ahmed,11:00 AM,9:00 AM,10-13-2020,10-15-2020,48,2,Closed
65733,Annabella,359-8023-66,Phone,Ace Galaxy S6,Calling feature unresponsive,High,Ahmed,12:00 PM,11:00 AM,12-23-2020,12-24-2020,24,1,Closed
46594,Edward,133-1665-75,Phone,Ace M31 Prime,Broken Camera,Medium,Ahmed,7:00 AM,12:00 PM,12-26-2020,12-25-2020,24,1,Closed
81556,Lily,528-1680-77,Phone,Ace Galaxy S9,cannot connect to the network,Medium,Ahmed,5:00 PM,2:00 PM,11-29-2020,12-01-2020,7714,322,Closed
55686,Harold,325-1669-29,Phone,Ace Galaxy S4,Camera not working,Medium,Ahmed,7:00 PM,3:00 PM,12-10-2020,12-12-2020,1460,61,Closed
32849,William,160-1712-66,Phone,Ace Galaxy S6,IR blaster unresponsive sometimes,Low,Ahmed,8:00 AM,2:00 PM,10-05-2020,10-08-2020,2214,93,Closed
44952,Freddie,752-5065-24,Phone,Ace 5,Cannot connect to Playstore,Low,Rohan,2:00 PM,1:00 PM,11-05-2020,12-07-2020,1487,62,Closed
37172,Dexter,481-4071-19,Phone,Ace 5,Phone crashes occasionally,Low,Rohan,1:00 PM,10:00 AM,10-12-2020,10-13-2020,1405,59,Closed
85593,Victor,459-5186-28,Phone,Ace 6s+,SLow charging battery,Medium,Rohan,10:00 AM,9:00 AM,12-26-2020,12-28-2020,48,2,Closed
45116,Sam,105-8093-06,Phone,Ace Galaxy S4,Overall performance is sLow,Medium,Rohan,6:00 PM,4:00 PM,12-15-2020,12-17-2020,48,2,Closed
64933,Vanessa,998-8501-85,Phone,Ace 6s+,Camera broken,Medium,Rohan,4:00 PM,12:00 PM,12-15-2020,12-17-2020,48,2,Closed
63308,Edward,828-2092-66,Tablet,Ace NotePad 4,Touchscreen unresponsive,High,Rohan,12:00 PM,7:00 PM,02-12-2021,02-12-2021,7,1,Closed
62416,Kevin,493-3428-82,Tablet,Ace Swift F20 Lite,Cannot connect to wifi,Low,Rohan,7:00 PM,9:00 AM,2-23-2021,2-26-2021,72,3,Closed
85580,Chloe,245-8711-99,Tablet,Ace Tablet 500 Mini,Charging port damaged,High,Abhishek,9:00 AM,11:00 AM,01-02-2021,01-03-2021,674,29,Closed
67091,Abraham,019-1970-16,Tablet,Ace Swift F20 Lite,Water damage,High,Abhishek,11:00 AM,12:00 PM,2-22-2021,2-23-2021,24,1,Closed
9626,Edward,310-3577-33,Tablet,Ace NotePad 2,Display lagging,Low,Abhishek,12:00 PM,2:00 PM,2-18-2021,2-21-2021,72,3,Closed
33484,Darcy,970-1101-84,Tablet,Ace Tablet 500 Mini,Overheaing,Medium,Abhishek,2:00 PM,10:00 AM,1-16-2021,1-17-2021,24,1,Closed
30875,Michael,213-5912-24,Tablet,Ace NotePad 4,Unable to turn on,High,Abhishek,3:00 PM,9:00 AM,02-09-2021,02-10-2021,714,30,Closed
6943,Caroline,411-0503-76,Tablet,Ace Swift F20 Lite,Touchscreen doesn't work,High,Surya,8:00 PM,4:00 PM,01-08-2021,01-09-2021,740,31,Closed
67101,Arianna,691-1558-57,Tablet,Ace Tab E750,Volume buttons unresponsive,High,Surya,3:00 PM,12:00 PM,2-16-2021,2-17-2021,24,1,Closed
91822,Lily,755-1544-42,Tablet,Ace Tab E750 Pro,Brightness controls unresponsive,Low,Surya,5:00 PM,7:00 PM,02-04-2021,02-07-2021,2186,92,Closed
8453,Chloe,613-9825-63,Tablet,Ace NotePad 2,Cannot download apps,Low,Surya,6:00 PM,9:00 AM,01-11-2021,1-14-2021,7002,292,Closed
6594,Mary,274-4763-97,Tablet,Ace Tab E750 Pro,Forgotten Password,Medium,Raj,7:00 PM,11:00 AM,01-11-2021,01-12-2021,712,30,Closed
54533,Elise,101-7215-84,Tablet,Ace Swift F20 Lite,Charger port damaged,High,Raj,10:00 PM,4:00 PM,2-25-2021,2-25-2021,0,0,Closed
15855,Joyce,097-7412-04,Tablet,Ace Swift F20,"Plugged in, not charging",Low,Raj,11:00 AM,1:00 PM,02-06-2021,02-09-2021,2210,93,Closed
51122,William,259-0513-40,Tablet,Ace Tablet 500,Apps crashing often,Low,Raj,12:00 PM,6:00 PM,01-12-2021,1-15-2021,7692,321,Closed
46549,Spike,592-0223-51,Tablet,Ace Tablet 500 Mini,Cracked display,High,Raj,7:00 AM,7:00 PM,1-23-2021,1-24-2021,24,1,Closed
