CUSTOMER ID,CUSTOMER NAME,PHONE NO,PRODUCT CATEGORY,PRODUCT NAME,ISSUES,SEVERITY,CREATED BY,OPENED,CLOSED,DATE OPENED,DATECLOSED
68921,Arthur,012-9363-31,Desktop,Ace PC 3699,Cannot install updates,Low,Rohan,11:00 AM,5:00 PM,"November 9, 2020","November 12, 2020"
72766,Bruce,007-8361-77,Desktop,Ace AZ Desktop,Screen blackout when turning on,Medium,Rohan,12:00 PM,7:00 PM,"November 30, 2020","December 1, 2020"
23457,Owen,364-0857-39,Desktop,Ace A700,Minor monitor issues,Medium,Surya,7:00 PM,8:00 AM,"October 15, 2020","October 17, 2020"
14713,Daisy,001-0230-79,Desktop,Ace AZ Desktop,Monitor ghosting,Medium,Surya,8:00 AM,2:00 PM,"December 29, 2020","December 30, 2020"
97072,Tara,998-5159-83,Desktop,Ace Quantum Core 5278,Blue Screen,High,Surya,2:00 PM,1:00 PM,"November 19, 2020","November 20, 2020"
30582,Dale,004-3703-59,Desktop,Ace Pro 2000,Failing power supply,High,Surya,1:00 PM,10:00 AM,"December 7, 2020","November 9, 2020"
38005,Naomi,335-5814-72,Phone,Ace M31 Prime,Screen frozen,High,Surya,10:00 AM,9:00 AM,"December 22, 2020","December 23, 2020"
64304,Chester,900-9555-97,Phone,Ace X3,Unresponsive power button,Medium,Surya,9:00 AM,8:00 PM,"November 1, 2020","November 3, 2020"
70503,Richard,111-0829-64,Phone,Ace X3,Cannot install apps,Low,Ahmed,4:00 PM,12:00 PM,"October 7, 2020","October 10, 2020"
33739,Aida,290-7826-89,Phone,Ace Galaxy S4,Wifi connection issues,Low,Ahmed,12:00 PM,7:00 PM,"December 3, 2020","December 5, 2020"
50085,Paige,040-7949-82,Phone,Ace 6s+,Speakers damaged,Medium,Ahmed,11:00 AM,9:00 AM,"October 13, 2020","October 15, 2020"
65733,Annabella,359-8023-66,Phone,Ace Galaxy S6,Calling feature unresponsive,High,Ahmed,12:00 PM,11:00 AM,"December 23, 2020","December 24, 2020"
46594,Edward,133-1665-75,Phone,Ace M31 Prime,Broken Camera,Medium,Ahmed,7:00 AM,12:00 PM,"December 26, 2020","December 25, 2020"
81556,Lily,528-1680-77,Phone,Ace Galaxy S9,cannot connect to the network,Medium,Ahmed,5:00 PM,2:00 PM,"November 29, 2020","December 1, 2020"
55686,Harold,325-1669-29,Phone,Ace Galaxy S4,Camera not working,Medium,Ahmed,7:00 PM,3:00 PM,"December 10, 2020","December 12, 2020"
32849,William,160-1712-66,Phone,Ace Galaxy S6,IR blaster unresponsive sometimes,Low,Ahmed,8:00 AM,2:00 PM,"October 5, 2020","October 8, 2020"
44952,Freddie,752-5065-24,Phone,Ace 5,Cannot connect to Playstore,Low,Rohan,2:00 PM,1:00 PM,"December 5, 2020","December 7, 2020"
37172,Dexter,481-4071-19,Phone,Ace 5,Phone crashes occasionally,Low,Rohan,1:00 PM,10:00 AM,"October 12, 2020","October 13, 2020"
85593,Victor,459-5186-28,Phone,Ace 6s+,SLow charging battery,Medium,Rohan,10:00 AM,9:00 AM,"December 26, 2020","December 28, 2020"
45116,Sam,105-8093-06,Phone,Ace Galaxy S4,Overall performance is sLow,Medium,Rohan,6:00 PM,4:00 PM,"December 15, 2020","December 17, 2020"
64933,Vanessa,998-8501-85,Phone,Ace 6s+,Camera broken,Medium,Rohan,4:00 PM,12:00 PM,"December 15, 2020","December 17, 2020"
63308,Edward,828-2092-66,Tablet,Ace NotePad 4,Touchscreen unresponsive,High,Rohan,12:00 PM,7:00 PM,"February 12, 2021","February 12, 2021"
62416,Kevin,493-3428-82,Tablet,Ace Swift F20 Lite,Cannot connect to wifi,Low,Rohan,7:00 PM,9:00 AM,"February 23, 2021","February 26, 2021"
85580,Chloe,245-8711-99,Tablet,Ace Tablet 500 Mini,Charging port damaged,High,Abhishek,9:00 AM,11:00 AM,"January 2, 2021","January 3, 2021"
67091,Abraham,019-1970-16,Tablet,Ace Swift F20 Lite,Water damage,High,Abhishek,11:00 AM,12:00 PM,"February 22, 2021","February 23, 2021"
9626,Edward,310-3577-33,Tablet,Ace NotePad 2,Display lagging,Low,Abhishek,12:00 PM,2:00 PM,"February 18, 2021","February 21, 2021"
33484,Darcy,970-1101-84,Tablet,Ace Tablet 500 Mini,Overheaing,Medium,Abhishek,2:00 PM,10:00 AM,"January 16, 2021","January 17, 2021"
30875,Michael,213-5912-24,Tablet,Ace NotePad 4,Unable to turn on,High,Abhishek,3:00 PM,9:00 AM,"February 9, 2021","February 10, 2021"
6943,Caroline,411-0503-76,Tablet,Ace Swift F20 Lite,Touchscreen doesn't work,High,Surya,8:00 PM,4:00 PM,"January 8, 2021","January 9, 2021"
67101,Arianna,691-1558-57,Tablet,Ace Tab E750,Volume buttons unresponsive,High,Surya,3:00 PM,12:00 PM,"February 16, 2021","February 17, 2021"
91822,Lily,755-1544-42,Tablet,Ace Tab E750 Pro,Brightness controls unresponsive,Low,Surya,5:00 PM,7:00 PM,"February 4, 2021","February 7, 2021"
8453,Chloe,613-9825-63,Tablet,Ace NotePad 2,Cannot download apps,Low,Surya,6:00 PM,9:00 AM,"January 11, 2021","January 14, 2021"
6594,Mary,274-4763-97,Tablet,Ace Tab E750 Pro,Forgotten Password,Medium,Raj,7:00 PM,11:00 AM,"January 11, 2021","January 12, 2021"
54533,Elise,101-7215-84,Tablet,Ace Swift F20 Lite,Charger port damaged,High,Raj,10:00 PM,4:00 PM,"February 25, 2021","February 25, 2021"
15855,Joyce,097-7412-04,Tablet,Ace Swift F20,"Plugged in, not charging",Low,Raj,11:00 AM,1:00 PM,"February 6, 2021","February 9, 2021"
51122,William,259-0513-40,Tablet,Ace Tablet 500,Apps crashing often,Low,Raj,12:00 PM,6:00 PM,"January 12, 2021","January 15, 2021"
46549,Spike,592-0223-51,Tablet,Ace Tablet 500 Mini,Cracked display,High,Raj,7:00 AM,7:00 PM,"January 23, 2021","January 24, 2021"
86690,Carina,433-2355-10,Tablet,Ace Tab E750,Keypad not working,Medium,Raj,5:00 PM,8:00 AM,"January 11, 2021","January 12, 2021"
21039,Lucas,680-6466-15,Tablet,Ace Tab E750 Pro,Cracked display,High,Rohan,7:00 PM,2:00 PM,"January 3, 2021","January 4, 2021"
63520,Penelope,446-3384-31,Tablet,Ace NotePad 2,Headphone port not working,High,Rohan,8:00 AM,1:00 PM,"January 12, 2021","January 12, 2021"
61996,Edgar,021-0937-46,Tablet,Ace Tablet 500,Camera broken,Medium,Rohan,2:00 PM,10:00 AM,"February 3, 2021","February 4, 2021"
33275,Robert,447-7073-44,Desktop,Ace Pro 1000,Dsiplay glitches,Medium,Rohan,1:00 PM,9:00 AM,"February 7, 2021","February 8, 2021"
46183,Martin,082-9817-92,Desktop,Ace Pro 1000,Keyboard unresponsive,High,Rohan,10:00 AM,4:00 PM,"January 1, 2021","January 1, 2021"
75618,Catherine,060-0834-64,Desktop,Ace Pro 2000,Cannot install updates,Low,Abhishek,9:00 AM,12:00 PM,"February 7, 2021","February 10, 2021"
37946,Catherine,908-1804-38,Desktop,Ace A700,Cannot turn on,High,Abhishek,4:00 PM,7:00 PM,"February 12, 2021","February 13, 2021"
16286,Heather,954-4397-43,Desktop,Ace A700,SLow PC,Low,Abhishek,12:00 PM,9:00 AM,"January 29, 2021","January 31, 2021"
85341,Lilianna,358-0327-46,Desktop,Ace Quantum Core 5278,Noisy hard drive,Medium,Abhishek,7:00 PM,11:00 AM,"February 23, 2021","February 24, 2021"
39665,Sawyer,872-4659-69,Desktop,Ace PC 3699,Dsiplay broken,High,Abhishek,9:00 AM,12:00 PM,"February 27, 2021","February 27, 2021"
11285,Camila,977-1464-34,Desktop,Ace Quantum Core 5278,Some apps are not functioning,Low,Abhishek,11:00 AM,2:00 PM,"February 5, 2021","February 8, 2021"
46615,Honey,132-5930-68,Desktop,Ace AZ Desktop,Corrupt files,Medium,Abhishek,12:00 PM,3:00 PM,"January 30, 2021","January 31, 2021"
8163,Jessica,443-6149-77,Desktop,Ace PC 3699,Automatic reboots,Medium,Abhishek,2:00 PM,8:00 PM,"February 17, 2021","February 18, 2021"
37997,Mary,909-0625-48,Desktop,Ace Pro 2000,Cracked display,High,Rohan,3:00 PM,3:00 PM,"January 10, 2021","January 11, 2021"
57244,Gianna,357-1449-46,Desktop,Ace AZ Desktop,Overheating,Medium,Rohan,8:00 PM,5:00 PM,"January 13, 2021","January 14, 2021"
52292,Nicholas,282-2049-54,Desktop,Ace Pro 2000,Blue screen,High,Rohan,3:00 PM,6:00 PM,"February 7, 2021","February 7, 2021"
86626,Tyler,928-1138-72,Desktop,Ace PC 3699,Display broken,High,Rohan,5:00 PM,7:00 PM,"January 23, 2021","January 23, 2021"
31902,Clark,315-0686-16,Desktop,Ace PC 3699,Fans not working,High,Rohan,6:00 PM,10:00 PM,"February 6, 2021","February 6, 2021"
81611,George,754-4270-20,Desktop,Ace A700,Keyboard not responding,Medium,Rohan,7:00 PM,11:00 AM,"February 20, 2021","February 21, 2021"
79926,Victoria,215-2991-66,Desktop,Ace A700,Screen Is blank,High,Rohan,10:00 PM,12:00 PM,"January 18, 2021","January 19, 2021"
45329,Amelia,912-2762-81,Desktop,Ace Quantum Core 5278,Does not connect to external devices,Medium,Surya,8:00 AM,7:00 AM,"January 12, 2021","January 13, 2021"
75374,Briony,255-4087-40,Desktop,Ace PC 3699,Forgotten password,Low,Surya,2:00 PM,5:00 PM,"February 7, 2021","February 10, 2021"
52948,Harold,937-8524-02,Desktop,Ace Pro 1000,Screen Is blank,High,Surya,1:00 PM,7:00 PM,"February 27, 2021","February 28, 2021"
5253,Tara,713-7618-08,Desktop,Ace Zeus V01,Screen borken,High,Surya,10:00 AM,8:00 AM,"February 12, 2021","February 13, 2021"
77585,Steven,196-1194-22,Desktop,Ace Quantum Core 5278,keypad not working,High,Surya,9:00 AM,2:00 PM,"January 9, 2021","January 10, 2021"
87512,Aiden,661-4016-43,Desktop,Ace PC 3699,Overheating very often,Medium,Surya,4:00 PM,1:00 PM,"February 6, 2021","February 7, 2021"
57887,Nicole,209-3299-54,Desktop,Ace Zeus V01,Display issues,Medium,Surya,12:00 PM,10:00 AM,"February 14, 2021","February 15, 2021"
62850,Edward,937-6457-61,Desktop,Ace PC 3699,Fans not working,High,Surya,7:00 PM,9:00 AM,"January 28, 2021","January 29, 2021"
41331,Rubie,106-4003-04,Laptop,Ace SparX,Connected to charger but not charging,Medium,Surya,9:00 AM,4:00 PM,"January 12, 2021","January 15, 2021"
68332,Jasmine,307-6160-34,Laptop,Ace SparX Pro,Screen scratches,Low,Surya,11:00 AM,12:00 PM,"January 3, 2021","January 6, 2021"
78963,Alisa,974-5286-61,Laptop,Ace Lappy 1126,Display glitches,Medium,Surya,12:00 PM,7:00 PM,"February 3, 2021","February 4, 2021"
25746,Thomas,787-7845-02,Laptop,Ace Flare S6,Unresponsive power button,High,Surya,2:00 PM,9:00 AM,"February 27, 2021","February 28, 2021"
59513,Owen,194-7224-88,Laptop,Ace Flare S6,Keyboard not working,Medium,Surya,3:00 PM,11:00 AM,"February 18, 2021","February 19, 2021"
18814,Freddie,215-4358-64,Laptop,Ace SparX,Cannot install updates,Medium,Surya,8:00 PM,12:00 PM,"February 15, 2021","February 16, 2021"
4797,Madaline,299-6322-76,Laptop,Ace Lappy 1126,Low battery life,Low,Surya,3:00 PM,2:00 PM,"January 5, 2021","January 8, 2021"
77539,Camila,528-2933-16,Laptop,Ace Flare S6,Cannot establish bluetooth connection,Low,Surya,5:00 PM,3:00 PM,"February 16, 2021","February 19, 2021"
81718,Isabella,961-5026-49,Laptop,Ace Lappy 1126,Broken headphones port,Medium,Ahmed,6:00 PM,8:00 PM,"February 23, 2021","February 24, 2021"
94923,Brooke,509-4403-13,Laptop,Ace Flare S6,USB port damaged,Medium,Ahmed,7:00 PM,3:00 PM,"February 15, 2021","February 16, 2021"
76615,Charlotte,125-5465-53,Laptop,Ace Notebook 1.0,Monitor ghosting,Low,Ahmed,10:00 PM,5:00 PM,"February 6, 2021","February 9, 2021"
32266,Adrianna,169-8536-15,Laptop,Ace Lappy 1126,Broken screen,High,Ahmed,5:00 PM,6:00 PM,"January 18, 2021","January 19, 2021"
50851,Vanessa,511-8278-68,Laptop,Ace Infinite,Touchscreen unresponsive,Medium,Ahmed,7:00 PM,7:00 PM,"January 12, 2021","January 13, 2021"
26210,Brooke,130-6154-46,Laptop,Ace Notebook 2.0,Display partially damaged,Medium,Ahmed,8:00 AM,10:00 PM,"February 27, 2021","February 28, 2021"
94548,Alfred,157-8094-19,Laptop,Ace Notebook 2.0,Hard drive noises,High,Ahmed,2:00 PM,12:00 PM,"January 23, 2021","January 24, 2021"
95701,Kelsey,037-0248-62,Laptop,Ace Lappy 1126,Cannot access RAM,Medium,Ahmed,1:00 PM,2:00 PM,"January 17, 2021","January 18, 2021"
6494,Deanna,679-3242-25,Laptop,Ace Lappy 1126,Cannot install updates,Low,Ahmed,10:00 AM,3:00 PM,"February 18, 2021","February 21, 2021"
2949,George,441-8524-55,Laptop,Ace Lappy 1126,Connection to speakers unresponsive,Medium,Ahmed,9:00 AM,8:00 PM,"January 17, 2021","January 18, 2021"
43606,Tess,604-8143-05,Laptop,Ace Lappy 1126,Fans working too fast,High,Ahmed,4:00 PM,3:00 PM,"February 11, 2021","February 12, 2021"
43225,Cherry,096-3240-49,Laptop,Ace Notebook 2.0 Lite,Processor burning,High,Ahmed,12:00 PM,5:00 PM,"February 3, 2021","February 4, 2021"
77484,Alisa,235-4499-04,Laptop,Ace Notebook 2.0 Lite,Dead laptop,High,Rohan,7:00 PM,6:00 PM,"January 26, 2021","January 27, 2021"
5452,Aida,774-6191-89,Laptop,Ace Infinite,Connected to charger but not charging,Medium,Rohan,9:00 AM,7:00 PM,"February 17, 2021","February 18, 2021"
36788,Frederick,929-1308-72,Laptop,Ace Flare S2,Battery issues,Low,Rohan,11:00 AM,10:00 PM,"February 1, 2021","February 4, 2021"
42354,Cadie,613-2613-33,Laptop,Ace Flare S6,Cannot ptoject to screen,Low,Rohan,12:00 PM,7:00 PM,"February 16, 2021","February 19, 2021"
99808,Valeria,081-4193-14,Laptop,Ace Infinite,Touchscreen unresponsive sometimes,Low,Rohan,7:00 PM,10:00 PM,"January 20, 2021","January 23, 2021"
48137,Sawyer,272-4573-17,Laptop,Ace Flare S2,Webcam issues,Low,Rohan,8:00 AM,8:00 AM,"January 9, 2021","January 12, 2021"
97688,Florrie,898-1371-49,Laptop,Ace Notebook 2.0 Lite,Apps crashing often,Medium,Rohan,2:00 PM,2:00 PM,"February 28, 2021","April 1, 2021"
27961,Alan,157-5783-34,Laptop,Ace TouchPad 2000,Glitches on screen,Medium,Rohan,1:00 PM,1:00 PM,"February 6, 2021","February 7, 2021"
6259,Elian,709-1823-16,Laptop,Ace Flare S6,USB port damaged,Medium,Rohan,10:00 AM,10:00 AM,"January 25, 2021","January 26, 2021"
21975,Jenna,764-2791-48,Laptop,Ace Lappy 1126,Touchpad unresponsive,High,Rohan,9:00 AM,9:00 AM,"February 13, 2021","February 14, 2021"
47577,Thomas,259-5146-93,Phone,Ace M31 Prime,Calling feature unresponsive,High,Rohan,4:00 PM,4:00 PM,"February 17, 2021","February 18, 2021"
67703,Fiona,301-2890-55,Phone,Ace 6s+,Screen burning,Low,Rohan,12:00 PM,12:00 PM,"January 12, 2021","January 15, 2021"
88568,Connie,196-2185-68,Phone,Ace Galaxy S4,Broken display,High,Abhishek,12:00 PM,7:00 PM,"January 19, 2021","January 20, 2021"
